,subject,predicate,object
387,Dinosaur,type,Reptile
388,Dinosaur,type,BiologicalLivingObject
389,Dinosaur,type,Eukaryote
391,Dinosaur,type,Animal
392,Dog,abstract,"The dog (Canis familiaris when considered a distinct species or Canis lupus familiaris when considered a subspecies of the wolf) is a domesticated carnivoran of the family Canidae. It is part of the wolf-like canids, and is the most widely abundant terrestrial carnivore. The dog and the extant gray wolf are sister taxa as modern wolves are not closely related to the wolves that were first domesticated,  which implies that the direct ancestor of the dog is extinct. The dog was the first species to be domesticated, and has been selectively bred over millennia for various behaviors, sensory capabilities, and physical attributes. Their long association with humans has led dogs to be uniquely attuned to human behavior and they are able to thrive on a starch-rich diet that would be inadequate for other canids. Dogs vary widely in shape, size and colors. They perform many roles for humans, such as hunting, herding, pulling loads, protection, assisting police and military, companionship and, more recently, aiding disabled people and therapeutic roles. This influence on human society has given them the sobriquet of ""man's best friend""."
393,Dog,type,BiologicalLivingObject
395,Dog,type,Eukaryote
397,Dog,type,Animal
398,Dog,type,Mammal
399,Dolphin,abstract,"Dolphin is a common name of aquatic mammals within the infraorder Cetacea. The term dolphin usually refers to the extant families Delphinidae (the oceanic dolphins), Platanistidae (the Indian river dolphins), Iniidae (the New World river dolphins), and Pontoporiidae (the brackish dolphins), and the extinct Lipotidae (baiji or Chinese river dolphin). There are 40 extant species named as dolphins. Dolphins range in size from the 1.7-metre-long (5 ft 7 in) long and 50-kilogram (110-pound) Maui's dolphin to the 9.5 m (31 ft 2 in) and 10-metric-ton (11-short-ton) killer whale. Several species exhibit sexual dimorphism, in that the males are larger than females. They have streamlined bodies and two limbs that are modified into flippers. Though not quite as flexible as seals, some dolphins can travel at speeds 29 km/h (18 mph) for short distances. Dolphins use their conical shaped teeth to capture fast moving prey. They have well-developed hearing which is adapted for both air and water and is so well developed that some can survive even if they are blind. Some species are well adapted for diving to great depths. They have a layer of fat, or blubber, under the skin to keep warm in the cold water. Although dolphins are widespread, most species prefer the warmer waters of the tropic zones, but some, like the right whale dolphin, prefer colder climates. Dolphins feed largely on fish and squid, but a few, like the killer whale, feed on large mammals, like seals. Male dolphins typically mate with multiple females every year, but females only mate every two to three years. Calves are typically born in the spring and summer months and females bear all the responsibility for raising them. Mothers of some species fast and nurse their young for a relatively long period of time. Dolphins produce a variety of vocalizations, usually in the form of clicks and whistles. Dolphins are sometimes hunted in places such as Japan, in an activity known as dolphin drive hunting. Besides drive hunting, they also face threats from bycatch, habitat loss, and marine pollution. Dolphins have been depicted in various cultures worldwide. Dolphins occasionally feature in literature and film, as in the film series Free Willy. Dolphins are sometimes kept in captivity and trained to perform tricks. The most common dolphin species in captivity is the bottlenose dolphin, while there are around 60 captive killer whales."
425,Dragonfly,abstract,"A dragonfly is an insect belonging to the order Odonata, infraorder Anisoptera (from Greek á¼„Î½Î¹ÏƒÎ¿Ï‚ anisos, ""unequal"" and Ï€Ï„ÎµÏÏŒÎ½ pteron, ""wing"", because the hindwing is broader than the forewing). Adult dragonflies are characterized by large, multifaceted eyes, two pairs of strong, transparent wings, sometimes with coloured patches, and an elongated body. Dragonflies can be mistaken for the related group, damselflies (Zygoptera), which are similar in structure, though usually lighter in build; however, the wings of most dragonflies are held flat and away from the body, while damselflies hold the wings folded at rest, along or above the abdomen. Dragonflies are agile fliers, while damselflies have a weaker, fluttery flight. Many dragonflies have brilliant iridescent or metallic colours produced by structural coloration, making them conspicuous in flight. An adult dragonfly's compound eyes have nearly 24,000 ommatidia each. Fossils of very large dragonfly ancestors in the Protodonata are found from 325 million years ago (Mya) in Upper Carboniferous rocks; these had wingspans up to about 750 mm (30 in). There are about 3,000 extant species. Most are tropical, with fewer species in temperate regions. Loss of wetland habitat threatens dragonfly populations around the world. Dragonflies are predators, both in their aquatic larval stage, when they are known as nymphs or naiads, and as adults. Several years of their lives are spent as nymphs living in fresh water; the adults may be on the wing for just a few days or weeks. They are fast, agile fliers, sometimes migrating across oceans, and often live near water. They have a uniquely complex mode of reproduction involving indirect insemination, delayed fertilization, and sperm competition. During mating, the male grasps the female at the back of the head, and the female curls her abdomen under her body to pick up sperm from the male's secondary genitalia at the front of his abdomen, forming the ""heart"" or ""wheel"" posture. Dragonflies are represented in human culture on artifacts such as pottery, rock paintings, statues and Art Nouveau jewelry. They are used in traditional medicine in Japan and China, and caught for food in Indonesia. They are symbols of courage, strength, and happiness in Japan, but seen as sinister in European folklore. Their bright colours and agile flight are admired in the poetry of Lord Tennyson and the prose of H. E. Bates."
427,Dragonfly,type,BiologicalLivingObject
435,Dragonfly,type,Animal
440,Dragonfly,type,Insect
441,Dragonfly,type,Eukaryote
442,Duck,abstract,"Duck is the common name for numerous species in the waterfowl family Anatidae which also includes swans and geese. Ducks are divided among several subfamilies in the family Anatidae; they do not represent a monophyletic group (the group of all descendants of a single common ancestral species) but a form taxon, since swans and geese are not considered ducks. Ducks are mostly aquatic birds, mostly smaller than the swans and geese, and may be found in both fresh water and sea water. Ducks are sometimes confused with several types of unrelated water birds with similar forms, such as loons or divers, geese, grebes, gallinules and coots."
443,Duck,type,Animal
444,Duck,type,Insect
445,Duck,type,Eukaryote
447,Duck,type,Bird
448,Duck,type,BiologicalLivingObject
449,Dugong,abstract,"The dugong (; Dugong dugon) is a medium-sized marine mammal. It is one of four living species of the order Sirenia, which also includes three species of manatees. It is the only living representative of the once-diverse family Dugongidae; its closest modern relative, Steller's sea cow (Hydrodamalis gigas), was hunted to extinction in the 18th century. The dugong is the only strictly herbivorous marine mammal. The dugong is the only sirenian in its range, which spans the waters of some 40 countries and territories throughout the Indo-West Pacific. The dugong is largely dependent on seagrass communities for subsistence and is thus restricted to the coastal habitats which support seagrass meadows, with the largest dugong concentrations typically occurring in wide, shallow, protected areas such as bays, mangrove channels, the waters of large inshore islands and inter-reefal waters. The northern waters of Australia between Shark Bay and Moreton Bay are believed to be the dugong's contemporary stronghold. Like all modern sirenians, the dugong has a fusiform body with no dorsal fin or hind limbs. The forelimbs or flippers are paddle-like. The dugong is easily distinguished from the manatees by its fluked, dolphin-like tail, but also possesses a unique skull and teeth. Its snout is sharply downturned, an adaptation for feeding in benthic seagrass communities. The molar teeth are simple and peg-like unlike the more elaborate molar dentition of manatees. The dugong has been hunted for thousands of years for its meat and oil. Traditional hunting still has great cultural significance in several countries in its modern range, particularly northern Australia and the Pacific Islands. The dugong's current distribution is fragmented, and many populations are believed to be close to extinction. The IUCN lists the dugong as a species vulnerable to extinction, while the Convention on International Trade in Endangered Species limits or bans the trade of derived products. Despite being legally protected in many countries, the main causes of population decline remain anthropogenic and include fishing-related fatalities, habitat degradation and hunting. With its long lifespan of 70 years or more, and slow rate of reproduction, the dugong is especially vulnerable to extinction."
451,Dugong,type,Mammal
452,Dugong,type,Eukaryote
453,Dugong,type,Insect
454,Dugong,type,BiologicalLivingObject
455,Dugong,type,Animal
456,Dunlin,abstract,"The dunlin (Calidris alpina) is a small wader, sometimes separated with the other ""stints"" in Erolia. The English name is a dialect form of ""dunling"", first recorded in 1531â€“2. It derives from dun, ""dull brown"", with the suffix -ling, meaning a person or thing with the given quality. The genus name is from Ancient Greek kalidris or skalidris, a term used by Aristotle for some grey-coloured waterside birds. The specific alpina  is from Latin and means ""of high mountains"", in this case referring to the Alps. It is a circumpolar breeder in Arctic or subarctic regions. Birds that breed in northern Europe and Asia are long-distance migrants, wintering south to Africa, southeast Asia and the Middle East. Birds that breed in Alaska and the Canadian Arctic migrate short distances to the Pacific and Atlantic coasts of North America, although those nesting in northern Alaska overwinter in Asia. Many dunlins winter along the Iberian south coast."
457,Dunlin,type,BiologicalLivingObject
458,Dunlin,type,Animal
459,Dunlin,type,Bird
460,Dunlin,type,Eukaryote
461,Eagle,abstract,"Eagle is the common name for many large birds of prey of the familia Accipitridae. Eagles belong to several groups of genera, not all of which are closely related. Most of the 60 species of eagle are from Eurasia and Africa. Outside this area, just 14 species can be foundâ€”2 in North America, 9 in Central and South America, and 3 in Australia."
464,Eagle,type,Eukaryote
474,Eagle,type,Animal
476,Eagle,type,Animal
477,Eagle,type,Species
480,Eagle,type,Bird
482,Eagle,type,Bird
484,Echidna,abstract,"Echidnas (), sometimes known as spiny anteaters, belong to the family Tachyglossidae in the monotreme order of egg-laying mammals. The four extant species of echidnas and the platypus are the only living mammals that lay eggs and the only surviving members of the order Monotremata. The diet of some species consists of ants and termites, but they are not closely related to the true anteaters of the Americas, which are xenarthrans, along with sloths and armadillos. Echidnas live in Australia and New Guinea. Echidnas evolved between 20 and 50 million years ago, descending from a platypus-like monotreme. This ancestor was aquatic, but echidnas adapted to life on land."
485,Echidna,type,BiologicalLivingObject
486,Echidna,type,Eukaryote
488,Echidna,type,Animal
489,Echidna,type,Mammal
490,Eel,abstract,"An eel is any ray-finned fish belonging to the order Anguilliformes (), which consists of eight suborders, 19 families, 111 genera, and about 800 species. Eels undergo considerable development from the early larval stage to the eventual adult stage, and most are predators. The term ""eel"" is also used for some other eel-shaped fish, such as electric eels (genus Electrophorus), spiny eels (family Mastacembelidae), and deep-sea spiny eels (family Notacanthidae). These other clades, however, evolved their eel-like shapes independently from the true eels."
493,Eel,type,Animal
496,Eel,type,Insect
497,Eel,type,Fish
499,Eel,type,Eukaryote
504,Eel,type,BiologicalLivingObject
506,Elephant,abstract,"Elephants are mammals of the family Elephantidae and the largest existing land animals. Three species are currently recognised: the African bush elephant, the African forest elephant, and the Asian elephant. Elephantidae is the only surviving family of the order Proboscidea; extinct members include the mastodons. The family Elephantidae also contains several now-extinct groups, including the mammoths and straight-tusked elephants. African elephants have larger ears and concave backs, whereas Asian elephants have smaller ears, and convex or level backs. Distinctive features of all elephants include a long trunk, tusks, large ear flaps, massive legs, and tough but sensitive skin. The trunk, also called a proboscis, is used for breathing, bringing food and water to the mouth, and grasping objects. Tusks, which are derived from the incisor teeth, serve both as weapons and as tools for moving objects and digging. The large ear flaps assist in maintaining a constant body temperature as well as in communication. The pillar-like legs carry their great weight. Elephants are scattered throughout sub-Saharan Africa, South Asia, and Southeast Asia and are found in different habitats, including savannahs, forests, deserts, and marshes. They are herbivorous, and they stay near water when it is accessible. They are considered to be keystone species, due to their impact on their environments. Other animals tend to keep their distance from elephants; the exception is their predators such as lions, tigers, hyenas, and wild dogs, which usually target only young elephants (calves). Elephants have a fissionâ€“fusion society, in which multiple family groups come together to socialise. Females (cows) tend to live in family groups, which can consist of one female with her calves or several related females with offspring. The groups, which do not include bulls, are led by the (usually) oldest cow, known as the matriarch. Males (bulls) leave their family groups when they reach puberty, and may live alone or with other males. Adult bulls mostly interact with family groups when looking for a mate. They enter a state of increased testosterone and aggression known as musth, which helps them gain dominance over other males as well as reproductive success. Calves are the centre of attention in their family groups and rely on their mothers for as long as three years. Elephants can live up to 70 years in the wild. They communicate by touch, sight, smell, and sound; elephants use infrasound, and seismic communication over long distances. Elephant intelligence has been compared with that of primates and cetaceans. They appear to have self-awareness, as well as appearing to show empathy for dying and dead family members. African elephants are listed as vulnerable and Asian elephants as endangered by the International Union for Conservation of Nature (IUCN). One of the biggest threats to elephant populations is the ivory trade, as the animals are poached for their ivory tusks. Other threats to wild elephants include habitat destruction and conflicts with local people. Elephants are used as working animals in Asia. In the past, they were used in war; today, they are often controversially put on display in zoos, or exploited for entertainment in circuses. Elephants are highly recognisable and have been featured in art, folklore, religion, literature, and popular culture."
507,Elephant,type,Insect
509,Elephant_seal,abstract,"Elephant seals are large, oceangoing earless seals in the genus Mirounga. The two species, the northern elephant seal (M. angustirostris) and the southern elephant seal (M. leonina), were both hunted to the brink of extinction by the end of the 19th century, but their numbers have since recovered. The northern elephant seal, somewhat smaller than its southern relative, ranges over the Pacific coast of the U.S., Canada and Mexico. The most northerly breeding location on the Pacific Coast is at Race Rocks, at the southern tip of Vancouver Island in the Strait of Juan de Fuca. The southern elephant seal is found in the Southern Hemisphere on islands such as South Georgia and Macquarie Island, and on the coasts of New Zealand, South Africa, and Argentina in the Peninsula ValdÃ©s. In southern Chile, there is a small colony of 120 animals at Jackson Bay, Admiralty Sound (Seno Almirantazgo), Tierra del Fuego. The oldest known unambiguous elephant seal fossils are fragmentary fossils of an unnamed member of the tribe Miroungini described from the late Pliocene  of New Zealand. Teeth originally identified as representing an unnamed species of Mirounga have been found in South Africa, and dated to the Miocene epoch; however Boessenecker & Churchill (2016) considered these teeth to be almost certainly misidentified odontocete teeth. Elephant seals breed annually and are seemingly faithful to colonies that have established breeding areas."
513,Elephant_seal,type,Animal
514,Elephant_seal,type,BiologicalLivingObject
515,Elephant_seal,type,Insect
519,Elephant_seal,type,Eukaryote
520,Elephant_seal,type,Mammal
522,Elk,abstract,"The elk (Cervus canadensis) or wapiti is one of the largest species within the deer family, Cervidae, and one of the largest terrestrial mammals in North America and Northeast Asia. This animal should not be confused with the still larger moose (Alces alces) of North America, alternatively known as ""elk"" in British English and related names in other European languages (German elch, Danish elg, French Ã©lan), in reference to populations in Eurasia. Elk range in forest and forest-edge habitat, feeding on grasses, plants, leaves, and bark. Male elk have large antlers which are shed each year. Males also engage in ritualized mating behaviors during the rut, including posturing, antler wrestling (sparring), and bugling, a loud series of vocalizations that establishes dominance over other males and attracts females. Although they are currently native to North America and eastern Asia, they had a wider distribution in the past. Populations were present across Eurasia into Western Europe during the Late Pleistocene, and survived into the early Holocene in southern Sweden and the Alps. Elk have adapted well in countries where they have been introduced, including Argentina and New Zealand. Their adaptability may in fact threaten endemic species and the ecosystems into which they have been introduced. Elk are susceptible to a number of infectious diseases, some of which can be transmitted to livestock. Efforts to eliminate infectious diseases from elk populations, largely by vaccination, have had mixed success. Some cultures revere the elk as having spiritual significance. In parts of Asia, antlers and their velvet are used in traditional medicines. Elk are hunted as a game species. Their meat is leaner and higher in protein than beef or chicken. Elk were long believed to belong to a subspecies of the European red deer (Cervus elaphus), but evidence from many mitochondrial DNA genetic studies beginning in 1998 shows that the two are distinct species. Key morphological differences that distinguish C. canadensis from C. elaphus are the former's wider rump patch and paler-hued antlers."
524,Elk,type,Mammal
525,Elk,type,Eukaryote
528,Elk,type,BiologicalLivingObject
529,Elk,type,Animal
530,Elk,type,Insect
534,Emu,abstract,"The emu (Dromaius novaehollandiae) is the second-largest living bird by height, after its ratite relative, the ostrich. It is endemic to Australia where it is the largest native bird and the only extant member of the genus Dromaius. The emu's range covers most of mainland Australia, but the Tasmanian, Kangaroo Island and King Island subspecies became extinct after the European settlement of Australia in 1788. The bird is sufficiently common for it to be rated as a least-concern species by the International Union for Conservation of Nature. Emus are soft-feathered, brown, flightless birds with long necks and legs, and can reach up to 1.9 metres (6.2 ft) in height. Emus can travel great distances, and when necessary can sprint at 50 km/h (31 mph); they forage for a variety of plants and insects, but have been known to go for weeks without eating. They drink infrequently, but take in copious amounts of water when the opportunity arises. Breeding takes place in May and June, and fighting among females for a mate is common. Females can mate several times and lay several clutches of eggs in one season. The male does the incubation; during this process he hardly eats or drinks and loses a significant amount of weight. The eggs hatch after around eight weeks, and the young are nurtured by their fathers. They reach full size after around six months, but can remain as a family unit until the next breeding season. The emu is an important cultural icon of Australia, appearing on the coat of arms and various coins. The bird features prominently in Indigenous Australian mythology."
535,Emu,type,BiologicalLivingObject
536,Emu,type,Eukaryote
537,Emu,type,Animal
538,Emu,type,Bird
539,Falcon,abstract,"Falcons () are birds of prey in the genus Falco, which includes about 40 species. Falcons are widely distributed on all continents of the world except Antarctica, though closely related raptors did occur there in the Eocene. Adult falcons have thin, tapered wings, which enable them to fly at high speed and change directions rapidly. Peregrine falcons have been recorded diving at speeds of 200 mph (320 km/h), making them the fastest-moving creatures on Earth. The fastest recorded dive is 390 km/h (240 mph). Fledgling falcons, in their first year of flying, have longer flight feathers, which make their configuration more like that of a general-purpose bird such as a broad-wing. This makes flying easier while learning the exceptional skills required to be effective hunters as adults. The falcons are the largest genus in the Falconinae subfamily of Falconidae, which itself also includes another subfamily comprising caracaras and a few other species. All these birds kill preys with their beaks, using a ""tooth"" on the side of their beaks â€” unlike the hawks, eagles and other birds of prey in the Accipitridae, who use the talons on their feet. The largest falcon is the gyrfalcon at up to 65 cm in length. The smallest falcon species is the Pygmy falcon which measures just 20 cm. As with hawks and owls, falcons exhibit sexual dimorphism, with the females typically larger than the males, thus allowing a wider range of prey species. Some small falcons with long, narrow wings are called ""hobbies"" and some which hover while hunting are called ""kestrels"". As is the case with many birds of prey, falcons have exceptional powers of vision; the visual acuity of one species has been measured at 2.6 times that of a normal human."
542,Falcon,type,Eukaryote
545,Falcon,type,Bird
546,Falcon,type,BiologicalLivingObject
548,Falcon,type,Animal
549,Falcon,type,Insect
552,Ferret,abstract,"The ferret (Mustela putorius furo) is the domesticated form of the European polecat, a mammal belonging to the same genus as the weasel, Mustela, in the family Mustelidae. Their fur is typically brown, black, white, or mixed. They have an average length of 51 cm (20 in), including a 13 cm (5.1 in) tail, weigh about 0.7 and 2.0 kg (1.5 and 4.4 lb), and have a natural lifespan of 7 to 10 years. Ferrets are sexually dimorphic predators, with males being substantially larger than females. The history of the ferret's domestication is uncertain, like that of most other domestic animals, but it is likely that they have been domesticated for at least 2,500 years. They are still used for hunting rabbits in some parts of the world, but increasingly they are kept only as pets. Being so closely related to polecats, ferrets easily hybridize with them, and this has occasionally resulted in feral colonies of polecatâ€“ferret hybrids that have caused damage to native fauna, especially in New Zealand. As a result, New Zealand and some other parts of the world have imposed restrictions on the keeping of ferrets. Several other mustelids also have the word ferret in their common names, including the black-footed ferret, an endangered species."
553,Ferret,type,BiologicalLivingObject
554,Ferret,type,Eukaryote
556,Ferret,type,Animal
558,Ferret,type,Mammal
559,Finch,abstract,"The true finches are small to medium-sized passerine birds in the family Fringillidae. Finches have stout conical bills adapted for eating seeds and nuts and often have colourful plumage. They occupy a great range of habitats where they are usually resident and do not migrate. They have a worldwide distribution except for Australia and the polar regions. The family Fringillidae contains more than two hundred species divided into fifty genera. It includes species known as siskins, canaries, redpolls, serins, grosbeaks and euphonias. Many birds in other families are also commonly called ""finches"". These groups include: the estrildid finches (Estrildidae) of the Old World tropics and Australia; some members of the Old World bunting family (Emberizidae) and the American sparrow family (Passerellidae); and the Darwin's finches of the Galapagos islands, now considered members of the tanager family (Thraupidae). Finches and canaries were used in the UK, Canada and USA in the coal mining industry, to detect carbon monoxide from the eighteenth to twentieth century. This practice ceased in the UK in 1986. Finches helped Charles Darwin understand the way that natural environments affect the evolution and adaptation of a species. Originally, Darwin did not discern that all the finches were the same species, as they looked different. Some adapted to have long, elegant beaks to be able to reach the fruits of a plant, while others have adapted to have strong, sturdy beaks in order to break nuts. This realization helped Darwin understand the effects of species in different ecosystems, leading to a stronger understanding of Darwinism."
564,Finch,type,Animal
567,Finch,type,Eukaryote
569,Finch,type,BiologicalLivingObject
570,Finch,type,Bird
572,Fish,abstract,"Fish are gill-bearing aquatic craniate animals that lack limbs with digits. They form a sister group to the tunicates, together forming the olfactores. Included in this definition are the living hagfish, lampreys, and cartilaginous and bony fish as well as various extinct related groups. The earliest organisms that can be classified as fish were soft-bodied chordates that first appeared during the Cambrian period. Although they lacked a true spine, they possessed notochords which allowed them to be more agile than their invertebrate counterparts. Fish would continue to evolve through the Paleozoic era, diversifying into a wide variety of forms. Many fish of the Paleozoic developed external armor that protected them from predators. The first fish with jaws appeared in the Silurian period, after which many (such as sharks) became formidable marine predators rather than just the prey of arthropods. Most fish are ectothermic (""cold-blooded""), allowing their body temperatures to vary as ambient temperatures change, though some of the large active swimmers like white shark and tuna can hold a higher core temperature. Fish can communicate in their underwater environments through the use of acoustic communication. Acoustic communication in fish involves the transmission of acoustic signals from one individual of a species to another. The production of sounds as a means of communication among fish is most often used in the context of feeding, aggression or courtship behaviour. The sounds emitted by fish can vary depending on the species and stimulus involved. They can produce either stridulatory sounds by moving components of the skeletal system, or can produce non-stridulatory sounds by manipulating specialized organs such as the swimbladder. Fish are abundant in most bodies of water. They can be found in nearly all aquatic environments, from high mountain streams (e.g., char and gudgeon) to the abyssal and even hadal depths of the deepest oceans (e.g., cusk-eels and snailfish), although no species has yet been documented in the deepest 25% of the ocean. With 34,300 described species, fish exhibit greater species diversity than any other group of vertebrates. Fish are an important resource for humans worldwide, especially as food. Commercial and subsistence fishers hunt fish in wild fisheries (see fishing) or farm them in ponds or in cages in the ocean (see aquaculture). They are also caught by recreational fishers, kept as pets, raised by fishkeepers, and exhibited in public aquaria. Fish have had a role in culture through the ages, serving as deities, religious symbols, and as the subjects of art, books and movies. Tetrapods emerged within lobe-finned fishes, so cladistically they are fish as well. However, traditionally fish are rendered paraphyletic by excluding the tetrapods (i.e., the amphibians, reptiles, birds and mammals which all descended from within the same ancestry). Because in this manner the term ""fish"" is defined negatively as a paraphyletic group, it is not considered a formal taxonomic grouping in systematic biology, unless it is used in the cladistic sense, including tetrapods. The traditional term pisces (also ichthyes) is considered a typological, but not a phylogenetic classification."
574,Flamingo,abstract,"Flamingos or flamingoes  are a type of wading bird in the family Phoenicopteridae, the only bird family in the order Phoenicopteriformes. Four flamingo species are distributed throughout the Americas, including the Caribbean, and two species are native to Africa, Asia, and Europe."
576,Flamingo,type,Animal
577,Flamingo,type,BiologicalLivingObject
578,Flamingo,type,Bird
580,Flamingo,type,Eukaryote
581,Fly,abstract,"True flies are insects of the order Diptera, the name being derived from the Greek Î´Î¹- di- ""two"", and Ï€Ï„ÎµÏÏŒÎ½ pteron ""wing"". Insects of this order use only a single pair of wings to fly, the hindwings having evolved into advanced mechanosensory organs known as halteres, which act as high-speed sensors of rotational movement and allow dipterans to perform advanced aerobatics. Diptera is a large order containing an estimated 1,000,000 species including horse-flies, crane flies, hoverflies and others, although only about 125,000 species have been described. Flies have a mobile head, with a pair of large compound eyes, and mouthparts designed for piercing and sucking (mosquitoes, black flies and robber flies), or for lapping and sucking in the other groups. Their wing arrangement gives them great maneuverability in flight, and claws and pads on their feet enable them to cling to smooth surfaces. Flies undergo complete metamorphosis; the eggs are laid on the larval food-source and the larvae, which lack true limbs, develop in a protected environment, often inside their food source. The pupa is a tough capsule from which the adult emerges when ready to do so; flies mostly have short lives as adults. Diptera is one of the major insect orders and of considerable ecological and human importance. Flies are important pollinators, second only to the bees and their Hymenopteran relatives. Flies may have been among the evolutionarily earliest pollinators responsible for early plant pollination. Fruit flies are used as model organisms in research, but less benignly, mosquitoes are vectors for malaria, dengue, West Nile fever, yellow fever, encephalitis, and other infectious diseases; and houseflies, commensal with humans all over the world, spread food-borne illnesses. Flies can be annoyances especially in some parts of the world where they can occur in large numbers, buzzing and settling on the skin or eyes to bite or seek fluids. Larger flies such as tsetse flies and screwworms cause significant economic harm to cattle. Blowfly larvae, known as gentles, and other dipteran larvae, known more generally as maggots, are used as fishing bait and as food for carnivorous animals. They are also used in medicine in debridement to clean wounds."
585,Fly,type,Eukaryote
586,Fly,type,BiologicalLivingObject
591,Fly,type,Insect
594,Fly,type,Animal
596,Fox,abstract,"Foxes are small to medium-sized, omnivorous mammals belonging to several genera of the family Canidae. Foxes have a flattened skull, upright triangular ears, a pointed, slightly upturned snout, and a long bushy tail (or brush). Twelve species belong to the monophyletic ""true foxes"" group of genus Vulpes. Approximately another 25 current or extinct species are always or sometimes called foxes; these foxes are either part of the paraphyletic group of the South American foxes, or of the outlying group, which consists of the bat-eared fox, gray fox, and island fox. Foxes live on every continent except Antarctica. By far the most common and widespread species of fox is the red fox (Vulpes vulpes) with about 47 recognized subspecies. The global distribution of foxes, together with their widespread reputation for cunning, has contributed to their prominence in popular culture and folklore in many societies around the world. The hunting of foxes with packs of hounds, long an established pursuit in Europe, especially in the British Isles, was exported by European settlers to various parts of the New World."
597,Fox,type,Mammal
598,Fox,type,Eukaryote
600,Fox,type,BiologicalLivingObject
601,Fox,type,Animal
602,Fox,type,Insect
603,Frog,abstract,"A frog is any member of a diverse and largely carnivorous group of short-bodied, tailless amphibians composing the order Anura (literally without tail in Ancient Greek). The oldest fossil ""proto-frog"" appeared in the early Triassic of Madagascar, but molecular clock dating suggests their origins may extend further back to the Permian, 265 million years ago. Frogs are widely distributed, ranging from the tropics to subarctic regions, but the greatest concentration of species diversity is in tropical rainforest. There are over 6,300 recorded species, accounting for around 88% of extant amphibian species. They are also one of the five most diverse vertebrate orders. Warty frog species tend to be called toads, but the distinction between frogs and toads is informal, not from taxonomy or evolutionary history. All toads are frogs, but not all frogs are toads. An adult frog has a stout body, protruding eyes, anteriorly-attached tongue, limbs folded underneath, and no tail (except in tailed frogs). Frogs have glandular skin, with secretions ranging from distasteful to toxic. Their skin varies in colour from well-camouflaged dappled brown, grey and green to vivid patterns of bright red or yellow and black to show toxicity and ward off predators. Adult frogs live in fresh water and on dry land; some species are adapted for living underground or in trees. Frogs typically lay their eggs in water. The eggs hatch into aquatic larvae called tadpoles that have tails and internal gills. They have highly specialized rasping mouth parts suitable for herbivorous, omnivorous or planktivorous diets. The life cycle is completed when they metamorphose into adults. A few species deposit eggs on land or bypass the tadpole stage. Adult frogs generally have a carnivorous diet consisting of small invertebrates, but omnivorous species exist and a few feed on plant matter. Frog skin has a rich microbiome which is important to their health. Frogs are extremely efficient at converting what they eat into body mass. They are an important food source for predators and part of the food web dynamics of many of the world's ecosystems. The skin is semi-permeable, making them susceptible to dehydration, so they either live in moist places or have special adaptations to deal with dry habitats. Frogs produce a wide range of vocalizations, particularly in their breeding season, and exhibit many different kinds of complex behaviours to attract mates, to fend off predators and to generally survive. Frogs are valued as food by humans and also have many cultural roles in literature, symbolism and religion. They are also seen as environmental bellwethers, with declines in frog populations often viewed as early warning signs of environmental damage. Frog populations have declined significantly since the 1950s. More than one third of species are considered to be threatened with extinction and over 120 are believed to have become extinct since the 1980s. The number of malformations among frogs is on the rise and an emerging fungal disease, chytridiomycosis, has spread around the world. Conservation biologists are working to understand the causes of these problems and to resolve them."
604,Frog,type,Animal
605,Frog,type,BiologicalLivingObject
606,Frog,type,Eukaryote
608,Frog,type,Amphibian
609,Gaur,abstract,"The gaur (Bos gaurus; ), also called the Indian bison, is native to South and Southeast Asia and has been listed as Vulnerable on the IUCN Red List since 1986. The global population has been estimated at maximum 21,000 mature individuals by 2016. It declined by more than 70% during the last three generations, and is extinct in Sri Lanka and probably also in Bangladesh. In well-protected areas, it is stable and increasing. It is the largest species among the wild cattle. In Malaysia, it is called seladang, and pyaung á€•á€¼á€±á€¬á€„á€º in Myanmar. The domesticated form of the gaur is called gayal (Bos frontalis) or mithun."
610,Gaur,type,Mammal
611,Gaur,type,Eukaryote
613,Gaur,type,BiologicalLivingObject
614,Gaur,type,Animal
